TF_name	action	old_Identical_PWM	new_Identical_PWM	old_Homologous_PWM	old_Relatively_Homologous_PWM	old_ModCRE	old_AlphaFold	HOCOMOCO_TF_name	HOCOMOCO_family	HOCOMOCO_UniProt_ID
Q02447	add_hocomoco_to_existing_identical_pwm	MA0746.1	MA0746.1;SP3_HUMAN.H11MO.0.B					SP3	Three-zinc finger Krüppel-related factors{2.3.1}	SP3_HUMAN
Q02548	add_hocomoco_to_existing_identical_pwm	MA0014.2	MA0014.2;PAX5_HUMAN.H11MO.0.A					PAX5	Paired domain only{3.2.2}	PAX5_HUMAN
Q02556	add_hocomoco_to_existing_identical_pwm	MA0652.1	MA0652.1;IRF8_HUMAN.H11MO.0.B					IRF8	Interferon-regulatory factors{3.5.3}	IRF8_HUMAN
Q02575	add_hocomoco_to_existing_identical_pwm	MA0048.1	MA0048.1;HEN1_HUMAN.H11MO.0.C					NHLH1	Tal-related factors{1.2.3}	HEN1_HUMAN
Q03052	add_hocomoco_to_existing_identical_pwm	MA0786.1	MA0786.1;PO3F1_HUMAN.H11MO.0.C					POU3F1	POU domain factors{3.1.10}	PO3F1_HUMAN
Q03060	add_hocomoco_to_existing_identical_pwm	MA0609.2	MA0609.2;CREM_HUMAN.H11MO.0.C					CREM	CREB-related factors{1.1.7}	CREM_HUMAN
Q03923	add_hocomoco_to_existing_identical_pwm	M08295_2.00	M08295_2.00;ZNF85_HUMAN.H11MO.0.C					ZNF85	More than 3 adjacent zinc finger factors{2.3.3}	ZNF85_HUMAN
Q03933	add_hocomoco_to_existing_identical_pwm	MA0770.1	MA0770.1;HSF2_HUMAN.H11MO.0.A					HSF2	HSF factors{3.4.1}	HSF2_HUMAN
Q04206	add_hocomoco_to_existing_identical_pwm	MA0107.1	MA0107.1;TF65_HUMAN.H11MO.0.A					RELA	NF-kappaB-related factors{6.1.1}	TF65_HUMAN
Q04864	add_hocomoco_to_existing_identical_pwm	MA0101.1	MA0101.1;REL_HUMAN.H11MO.0.B					REL	NF-kappaB-related factors{6.1.1}	REL_HUMAN
Q05066	add_hocomoco_to_existing_identical_pwm	MA0084.1	MA0084.1;SRY_HUMAN.H11MO.0.B					SRY	SOX-related factors{4.1.1}	SRY_HUMAN
Q06330	add_hocomoco_to_existing_identical_pwm	MA1116.1	MA1116.1;SUH_HUMAN.H11MO.0.A					RBPJ	CSL-related factors{6.1.4}	SUH_HUMAN
Q06413	add_hocomoco_to_existing_identical_pwm	MA0497.1	MA0497.1;MEF2C_HUMAN.H11MO.0.A					MEF2C	Regulators of differentiation{5.1.1}	MEF2C_HUMAN
Q06546	add_hocomoco_to_existing_identical_pwm	MA0062.1	MA0062.1;GABPA_HUMAN.H11MO.0.A					GABPA	Ets-related factors{3.5.2}	GABPA_HUMAN
Q06945	add_hocomoco_to_existing_identical_pwm	MA0867.1	MA0867.1;SOX4_HUMAN.H11MO.0.B					SOX4	SOX-related factors{4.1.1}	SOX4_HUMAN
Q07869	add_hocomoco_to_existing_identical_pwm	MA1148.1	MA1148.1;PPARA_HUMAN.H11MO.0.B					PPARA	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPARA_HUMAN
Q0VGE8	add_hocomoco_to_existing_identical_pwm	M07657_2.00	M07657_2.00;ZN816_HUMAN.H11MO.0.C					ZNF816	More than 3 adjacent zinc finger factors{2.3.3}	ZN816_HUMAN
Q10586	add_hocomoco_to_existing_identical_pwm	MA0639.1	MA0639.1;DBP_HUMAN.H11MO.0.B					DBP	C/EBP-related{1.1.8}	DBP_HUMAN
Q12772	add_hocomoco_to_existing_identical_pwm	MA0596.1	MA0596.1;SRBP2_HUMAN.H11MO.0.B					SREBF2	bHLH-ZIP factors{1.2.6}	SRBP2_HUMAN
Q12778	add_hocomoco_to_existing_identical_pwm	M10549_2.00	M10549_2.00;FOXO1_HUMAN.H11MO.0.A					FOXO1	Forkhead box (FOX) factors{3.3.1}	FOXO1_HUMAN
Q12857	add_hocomoco_to_existing_identical_pwm	MA0670.1	MA0670.1;NFIA_HUMAN.H11MO.0.C					NFIA	Nuclear factor 1{7.1.2}	NFIA_HUMAN
Q12948	add_hocomoco_to_existing_identical_pwm	MA0032.1	MA0032.1;FOXC1_HUMAN.H11MO.0.C					FOXC1	Forkhead box (FOX) factors{3.3.1}	FOXC1_HUMAN
Q12951	add_hocomoco_to_existing_identical_pwm	MA0042.1	MA0042.1;FOXI1_HUMAN.H11MO.0.B					FOXI1	Forkhead box (FOX) factors{3.3.1}	FOXI1_HUMAN
Q12968	add_hocomoco_to_existing_identical_pwm	MA0625.1	MA0625.1;NFAC3_HUMAN.H11MO.0.B					NFATC3	NFAT-related factors{6.1.3}	NFAC3_HUMAN
Q13105	upgrade_to_identical_pwm		ZBT17_HUMAN.H11MO.0.A		M00939_2.00 (51.2%);M00943_2.00 (56.6%);M00944_2.00 (59.0%);M00948_2.00 (52.4%);M00950_2.00 (56.0%);M00952_2.00 (50.5%);M00953_2.00 (57.8%);M00955_2.00 (54.4%);M00958_2.00 (53.6%);M00959_2.00 (52.4%);M00960_2.00 (53.6%);M01883_2.00 (51.0%);M02913_2.00 (51.5%);M04387_2.00 (50.0%);M06039_2.00 (53.1%);M06179_2.00 (55.7%);M08256_2.00 (50.0%);M08283_2.00 (50.0%);M08325_2.00 (51.7%);MA1124.1 (55.6%);MA1602.1 (52.0%)	TFS_sp_Q13105_ZBT17_HUMAN:473:580_5ei9_E_1.meme		ZBTB17	Factors with multiple dispersed zinc fingers{2.3.4}	ZBT17_HUMAN
Q13133	upgrade_to_identical_pwm		NR1H3_HUMAN.H11MO.0.B	MA0494.1 (91.4%)	M02392_2.00 (54.5%);M02409_2.00 (50.0%);M03426_2.00 (53.2%);M05635_2.00 (51.3%);M05669_2.00 (56.5%);M06432_2.00 (50.0%);M09275_2.00 (60.8%);M09309_2.00 (53.0%);M09609_2.00 (51.6%);MA0115.1 (69.1%);MA0504.1 (56.5%);MA1540.1 (51.3%);MA1541.1 (51.5%)			NR1H3	Thyroid hormone receptor-related factors (NR1){2.1.2}	NR1H3_HUMAN
Q13285	add_hocomoco_to_existing_identical_pwm	MA1540.1	MA1540.1;STF1_HUMAN.H11MO.0.B					NR5A1	FTZ-F1-related receptors (NR5){2.1.5}	STF1_HUMAN
Q13351	add_hocomoco_to_existing_identical_pwm	M00224_2.00	M00224_2.00;KLF1_HUMAN.H11MO.0.A					KLF1	Three-zinc finger Krüppel-related factors{2.3.1}	KLF1_HUMAN
Q13422	add_hocomoco_to_existing_identical_pwm	MA1508.1	MA1508.1;IKZF1_HUMAN.H11MO.0.C					IKZF1	Factors with multiple dispersed zinc fingers{2.3.4}	IKZF1_HUMAN
Q13469	add_hocomoco_to_existing_identical_pwm	MA0152.1	MA0152.1;NFAC2_HUMAN.H11MO.0.B					NFATC2	NFAT-related factors{6.1.3}	NFAC2_HUMAN
Q13485	add_hocomoco_to_existing_identical_pwm	MA0513.1	MA0513.1;SMAD4_HUMAN.H11MO.0.B					SMAD4	SMAD factors{7.1.1}	SMAD4_HUMAN
Q13516	add_hocomoco_to_existing_identical_pwm	MA0678.1	MA0678.1;OLIG2_HUMAN.H11MO.0.B					OLIG2	Tal-related factors{1.2.3}	OLIG2_HUMAN
Q13562	add_hocomoco_to_existing_identical_pwm	MA1109.1	MA1109.1;NDF1_HUMAN.H11MO.0.A					NEUROD1	Tal-related factors{1.2.3}	NDF1_HUMAN
Q13761	add_hocomoco_to_existing_identical_pwm	MA0684.1	MA0684.1;RUNX3_HUMAN.H11MO.0.A					RUNX3	Runt-related factors{6.4.1}	RUNX3_HUMAN
Q13886	add_hocomoco_to_existing_identical_pwm	MA1107.1	MA1107.1;KLF9_HUMAN.H11MO.0.C					KLF9	Three-zinc finger Krüppel-related factors{2.3.1}	KLF9_HUMAN
Q13887	add_hocomoco_to_existing_identical_pwm	MA0599.1	MA0599.1;KLF5_HUMAN.H11MO.0.A					KLF5	Three-zinc finger Krüppel-related factors{2.3.1}	KLF5_HUMAN
Q13950	add_hocomoco_to_existing_identical_pwm	MA0511.1	MA0511.1;RUNX2_HUMAN.H11MO.0.A					RUNX2	Runt-related factors{6.4.1}	RUNX2_HUMAN
Q13952	add_hocomoco_to_existing_identical_pwm	MA1644.1	MA1644.1;NFYC_HUMAN.H11MO.0.A					NFYC	Heteromeric CCAAT-binding factors{4.2.1}	NFYC_HUMAN
Q14119	add_hocomoco_to_existing_identical_pwm	MA1578.1	MA1578.1;VEZF1_HUMAN.H11MO.0.C					VEZF1	Factors with multiple dispersed zinc fingers{2.3.4}	VEZF1_HUMAN
Q14186	add_hocomoco_to_existing_identical_pwm	MA1122.1	MA1122.1;TFDP1_HUMAN.H11MO.0.C					TFDP1	E2F-related factors{3.3.2}	TFDP1_HUMAN
Q14209	add_hocomoco_to_existing_identical_pwm	MA0864.1	MA0864.1;E2F2_HUMAN.H11MO.0.B					E2F2	E2F-related factors{3.3.2}	E2F2_HUMAN
Q14494	add_hocomoco_to_existing_identical_pwm	MA0089.2	MA0089.2;NF2L1_HUMAN.H11MO.0.C					NFE2L1	Jun-related factors{1.1.1}	NF2L1_HUMAN
Q14526	add_hocomoco_to_existing_identical_pwm	M04568_2.00	M04568_2.00;HIC1_HUMAN.H11MO.0.C					HIC1	Factors with multiple dispersed zinc fingers{2.3.4}	HIC1_HUMAN
Q14541	add_hocomoco_to_existing_identical_pwm	MA0484.1	MA0484.1;HNF4G_HUMAN.H11MO.0.B					HNF4G	RXR-related receptors (NR2){2.1.3}	HNF4G_HUMAN
Q14653	add_hocomoco_to_existing_identical_pwm	MA1418.1	MA1418.1;IRF3_HUMAN.H11MO.0.B					IRF3	Interferon-regulatory factors{3.5.3}	IRF3_HUMAN
Q14765	add_hocomoco_to_existing_identical_pwm	M11361_2.00	M11361_2.00;STAT4_HUMAN.H11MO.0.A					STAT4	STAT factors{6.2.1}	STAT4_HUMAN
Q14814	add_hocomoco_to_existing_identical_pwm	MA0773.1	MA0773.1;MEF2D_HUMAN.H11MO.0.A					MEF2D	Regulators of differentiation{5.1.1}	MEF2D_HUMAN
Q14865	upgrade_to_identical_pwm		ARI5B_HUMAN.H11MO.0.C	M01661_2.00 (87.9%);M01663_2.00 (75.4%);MA0602.1 (75.4%)	M01657_2.00 (61.6%);M01668_2.00 (60.3%)			ARID5B	ARID-related factors{3.7.1}	ARI5B_HUMAN
Q14872	add_hocomoco_to_existing_identical_pwm	MA0863.1	MA0863.1;MTF1_HUMAN.H11MO.0.C					MTF1	More than 3 adjacent zinc finger factors{2.3.3}	MTF1_HUMAN
Q14934	add_hocomoco_to_existing_identical_pwm	MA1525.1	MA1525.1;NFAC4_HUMAN.H11MO.0.C					NFATC4	NFAT-related factors{6.1.3}	NFAC4_HUMAN
Q14994	add_hocomoco_to_existing_identical_pwm	MA1534.1	MA1534.1;NR1I3_HUMAN.H11MO.0.C					NR1I3	Thyroid hormone receptor-related factors (NR1){2.1.2}	NR1I3_HUMAN
Q15072	add_hocomoco_to_existing_identical_pwm	M08329_2.00	M08329_2.00;OZF_HUMAN.H11MO.0.C					ZNF146	More than 3 adjacent zinc finger factors{2.3.3}	OZF_HUMAN
Q15329	upgrade_to_identical_pwm		E2F5_HUMAN.H11MO.0.B		M01968_2.00 (51.8%);M06871_2.00 (51.5%);MA0470.1 (52.1%)	TFS_sp_Q15329_E2F5_HUMAN:49:116_4yo2_A_1.meme;TFS_sp_Q15329_E2F5_HUMAN:88:117_1cf7_B_1.meme;TFS_sp_Q15329_E2F5_HUMAN:49:115_1cf7_A_1.meme		E2F5	E2F-related factors{3.3.2}	E2F5_HUMAN
Q15406	add_hocomoco_to_existing_identical_pwm	MA1541.1	MA1541.1;NR6A1_HUMAN.H11MO.0.B					NR6A1	GCNF-related receptors (NR6){2.1.6}	NR6A1_HUMAN
Q15475	add_hocomoco_to_existing_identical_pwm	MA1118.1	MA1118.1;SIX1_HUMAN.H11MO.0.A					SIX1	HD-SINE factors{3.1.6}	SIX1_HUMAN
Q15561	add_hocomoco_to_existing_identical_pwm	MA0809.1	MA0809.1;TEAD4_HUMAN.H11MO.0.A					TEAD4	TEF-1-related factors{3.6.1}	TEAD4_HUMAN
Q15583	add_hocomoco_to_existing_identical_pwm	MA0796.1	MA0796.1;TGIF1_HUMAN.H11MO.0.A					TGIF1	TALE-type homeo domain factors{3.1.4}	TGIF1_HUMAN
Q15672	add_hocomoco_to_existing_identical_pwm	MA1123.1	MA1123.1;TWST1_HUMAN.H11MO.0.A					TWIST1	Tal-related factors{1.2.3}	TWST1_HUMAN
Q15699	add_hocomoco_to_existing_identical_pwm	M10741_2.00	M10741_2.00;ALX1_HUMAN.H11MO.0.B					ALX1	Paired-related HD factors{3.1.3}	ALX1_HUMAN
Q15723	add_hocomoco_to_existing_identical_pwm	MA1483.1	MA1483.1;ELF2_HUMAN.H11MO.0.C					ELF2	Ets-related factors{3.5.2}	ELF2_HUMAN
Q15744	add_hocomoco_to_existing_identical_pwm	MA0837.1	MA0837.1;CEBPE_HUMAN.H11MO.0.A					CEBPE	C/EBP-related{1.1.8}	CEBPE_HUMAN
Q15784	add_hocomoco_to_existing_identical_pwm	MA0668.1	MA0668.1;NDF2_HUMAN.H11MO.0.B					NEUROD2	Tal-related factors{1.2.3}	NDF2_HUMAN
Q15796	add_hocomoco_to_existing_identical_pwm	MA0513.1	MA0513.1;SMAD2_HUMAN.H11MO.0.A					SMAD2	SMAD factors{7.1.1}	SMAD2_HUMAN
Q15853	add_hocomoco_to_existing_identical_pwm	MA0526.1	MA0526.1;USF2_HUMAN.H11MO.0.A					USF2	bHLH-ZIP factors{1.2.6}	USF2_HUMAN
Q15915	add_hocomoco_to_existing_identical_pwm	MA0696.1	MA0696.1;ZIC1_HUMAN.H11MO.0.B					ZIC1	More than 3 adjacent zinc finger factors{2.3.3}	ZIC1_HUMAN
Q15916	add_hocomoco_to_existing_identical_pwm	MA1581.1	MA1581.1;ZBTB6_HUMAN.H11MO.0.C					ZBTB6	More than 3 adjacent zinc finger factors{2.3.3}	ZBTB6_HUMAN
Q16236	add_hocomoco_to_existing_identical_pwm	MA0150.1	MA0150.1;NF2L2_HUMAN.H11MO.0.A					NFE2L2	Jun-related factors{1.1.1}	NF2L2_HUMAN
Q16254	add_hocomoco_to_existing_identical_pwm	MA0470.1	MA0470.1;E2F4_HUMAN.H11MO.0.A					E2F4	E2F-related factors{3.3.2}	E2F4_HUMAN
Q16534	add_hocomoco_to_existing_identical_pwm	MA0043.1	MA0043.1;HLF_HUMAN.H11MO.0.C					HLF	C/EBP-related{1.1.8}	HLF_HUMAN
Q16621	add_hocomoco_to_existing_identical_pwm	MA0501.1	MA0501.1;NFE2_HUMAN.H11MO.0.A					NFE2	Jun-related factors{1.1.1}	NFE2_HUMAN
Q16656	add_hocomoco_to_existing_identical_pwm	MA0506.1	MA0506.1;NRF1_HUMAN.H11MO.0.A					NRF1	NRF{0.0.6}	NRF1_HUMAN
Q16665	add_hocomoco_to_existing_identical_pwm	MA0259.1	MA0259.1;HIF1A_HUMAN.H11MO.0.C					HIF1A	PAS domain factors{1.2.5}	HIF1A_HUMAN
Q3MIS6	add_hocomoco_to_existing_identical_pwm	MA1597.1	MA1597.1;ZN528_HUMAN.H11MO.0.C					ZNF528	More than 3 adjacent zinc finger factors{2.3.3}	ZN528_HUMAN
Q3ZCT1	add_hocomoco_to_existing_identical_pwm	M08395_2.00	M08395_2.00;ZN260_HUMAN.H11MO.0.C					ZNF260	More than 3 adjacent zinc finger factors{2.3.3}	ZN260_HUMAN
Q53GI3	add_hocomoco_to_existing_identical_pwm	M08903_2.00	M08903_2.00;ZN394_HUMAN.H11MO.0.C					ZNF394	More than 3 adjacent zinc finger factors{2.3.3}	ZN394_HUMAN
Q5HYK9	add_hocomoco_to_existing_identical_pwm	M08386_2.00	M08386_2.00;ZN667_HUMAN.H11MO.0.C					ZNF667	More than 3 adjacent zinc finger factors{2.3.3}	ZN667_HUMAN
Q5VTD9	add_hocomoco_to_existing_identical_pwm	M04524_2.00	M04524_2.00;GFI1B_HUMAN.H11MO.0.A					GFI1B	More than 3 adjacent zinc finger factors{2.3.3}	GFI1B_HUMAN
Q6IQ21	add_hocomoco_to_existing_identical_pwm	M08955_2.00	M08955_2.00;ZN770_HUMAN.H11MO.0.C					ZNF770	Factors with multiple dispersed zinc fingers{2.3.4}	ZN770_HUMAN
Q6ISB3	add_hocomoco_to_existing_identical_pwm	MA1105.1	MA1105.1;GRHL2_HUMAN.H11MO.0.A					GRHL2	Grainyhead-related factors{6.7.1}	GRHL2_HUMAN
Q6P9A3	add_hocomoco_to_existing_identical_pwm	M08300_2.00	M08300_2.00;ZN549_HUMAN.H11MO.0.C					ZNF549	More than 3 adjacent zinc finger factors{2.3.3}	ZN549_HUMAN
Q6P9G9	add_hocomoco_to_existing_identical_pwm	MA1656.1	MA1656.1;ZN449_HUMAN.H11MO.0.C					ZNF449	More than 3 adjacent zinc finger factors{2.3.3}	ZN449_HUMAN
Q6U7Q0	add_hocomoco_to_existing_identical_pwm	M08357_2.00	M08357_2.00;ZN322_HUMAN.H11MO.0.B					ZNF322	More than 3 adjacent zinc finger factors{2.3.3}	ZN322_HUMAN
Q7RTS1	add_hocomoco_to_existing_identical_pwm	MA1472.1	MA1472.1;BHA15_HUMAN.H11MO.0.B					BHLHA15	Tal-related factors{1.2.3}	BHA15_HUMAN
Q7RTS3	add_hocomoco_to_existing_identical_pwm	M04156_2.00	M04156_2.00;PTF1A_HUMAN.H11MO.0.B					PTF1A	Tal-related factors{1.2.3}	PTF1A_HUMAN
Q7Z7K2	add_hocomoco_to_existing_identical_pwm	M08358_2.00	M08358_2.00;ZN467_HUMAN.H11MO.0.C					ZNF467	Factors with multiple dispersed zinc fingers{2.3.4}	ZN467_HUMAN
Q86T24	add_hocomoco_to_existing_identical_pwm	MA0527.1	MA0527.1;KAISO_HUMAN.H11MO.0.A					ZBTB33	Other factors with up to three adjacent zinc fingers{2.3.2}	KAISO_HUMAN
Q86TJ5	add_hocomoco_to_existing_identical_pwm	M08917_2.00	M08917_2.00;ZN554_HUMAN.H11MO.0.C					ZNF554	More than 3 adjacent zinc finger factors{2.3.3}	ZN554_HUMAN
Q86UD4	upgrade_to_identical_pwm		ZN329_HUMAN.H11MO.0.C		M00142_2.00 (53.0%);M00217_2.00 (50.6%);M00224_2.00 (51.3%);M00609_2.00 (55.9%);M00765_2.00 (52.5%);M00779_2.00 (50.0%);M00782_2.00 (59.6%);M00786_2.00 (53.0%);M00939_2.00 (69.7%);M00943_2.00 (62.3%);M00944_2.00 (65.8%);M00945_2.00 (56.3%);M00948_2.00 (63.5%);M00950_2.00 (65.8%);M00952_2.00 (64.7%);M00953_2.00 (67.0%);M00955_2.00 (61.1%);M00958_2.00 (65.1%);M00959_2.00 (64.7%);M00960_2.00 (67.4%);M02924_2.00 (60.8%);M03671_2.00 (51.6%);M04387_2.00 (57.6%);M04463_2.00 (51.3%);M04465_2.00 (55.7%);M04505_2.00 (52.7%);M04536_2.00 (52.5%);M04598_2.00 (59.1%);M04611_2.00 (56.8%);M04613_2.00 (56.8%);M04621_2.00 (59.0%);M04650_2.00 (59.5%);M04653_2.00 (65.6%);M05853_2.00 (55.7%);M05859_2.00 (52.5%);M07562_2.00 (54.6%);M07566_2.00 (55.8%);M07567_2.00 (53.5%);M07578_2.00 (58.0%);M07581_2.00 (52.2%);M07582_2.00 (53.8%);M07587_2.00 (57.6%);M07590_2.00 (52.6%);M07593_2.00 (58.0%);M07598_2.00 (51.9%);M07601_2.00 (52.3%);M07605_2.00 (51.2%);M07607_2.00 (50.5%);M07610_2.00 (55.7%);M07635_2.00 (53.1%);M07645_2.00 (52.8%);M07646_2.00 (57.8%);M07648_2.00 (55.3%);M07649_2.00 (57.5%);M07660_2.00 (51.0%);M07667_2.00 (51.8%);M07678_2.00 (57.2%);M07683_2.00 (53.3%);M07684_2.00 (51.5%);M07686_2.00 (53.4%);M07689_2.00 (58.3%);M07691_2.00 (53.8%);M07699_2.00 (54.5%);M07700_2.00 (61.4%);M07706_2.00 (52.7%);M07707_2.00 (53.5%);M07712_2.00 (51.3%);M07723_2.00 (50.0%);M07727_2.00 (50.2%);M07746_2.00 (53.1%);M07753_2.00 (56.3%);M07764_2.00 (51.6%);M07777_2.00 (51.5%);M08252_2.00 (50.9%);M08254_2.00 (58.2%);M08255_2.00 (56.8%);M08256_2.00 (55.2%);M08267_2.00 (59.3%);M08274_2.00 (56.3%);M08279_2.00 (51.2%);M08283_2.00 (52.6%);M08291_2.00 (50.7%);M08292_2.00 (53.2%);M08309_2.00 (56.8%);M08311_2.00 (53.9%);M08325_2.00 (58.0%);M08329_2.00 (56.8%);M08334_2.00 (57.4%);M08335_2.00 (53.8%);M08347_2.00 (58.3%);M08355_2.00 (58.5%);M08366_2.00 (51.7%);M08371_2.00 (53.4%);M08373_2.00 (55.6%);M08375_2.00 (61.7%);M08392_2.00 (54.2%);M08395_2.00 (51.4%);M08860_2.00 (54.5%);M08867_2.00 (50.0%);M08901_2.00 (54.2%);M08908_2.00 (51.2%);M08917_2.00 (53.0%);M08934_2.00 (51.5%);M08944_2.00 (55.8%);M08985_2.00 (62.6%);M09008_2.00 (51.3%);MA0039.1 (51.3%);MA0039.3 (51.3%);MA0079.1 (52.5%);MA0493.1 (50.0%);MA0528.1 (51.4%);MA0685.1 (52.5%);MA0746.1 (50.0%);MA0747.1 (52.5%);MA1124.1 (59.8%);MA1154.1 (53.9%);MA1515.1 (51.3%);MA1564.1 (51.2%);MA1587.1 (50.4%);MA1589.1 (59.0%);MA1596.1 (50.2%);MA1601.1 (53.3%);MA1602.1 (56.3%);MA1656.1 (54.7%)	TFS_sp_Q86UD4_ZN329_HUMAN:284:394_5ei9_E_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:203:478_5v3j_E_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:240:393_2i13_A_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:107:199_5wjq_D_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:107:199_5v3m_C_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:203:478_5v3m_C_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:200:478_5wjq_D_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:107:195_2i13_A_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:107:199_5v3j_E_1.meme;TFS_sp_Q86UD4_ZN329_HUMAN:125:199_5eh2_F_1.meme;DIMER_sp_Q86UD4_ZN329_HUMAN:369:420_1llm_D_1.meme		ZNF329	More than 3 adjacent zinc finger factors{2.3.3}	ZN329_HUMAN
Q8IVP9	add_hocomoco_to_existing_identical_pwm	M07600_2.00	M07600_2.00;ZN547_HUMAN.H11MO.0.C					ZNF547	More than 3 adjacent zinc finger factors{2.3.3}	ZN547_HUMAN
Q8N141	add_hocomoco_to_existing_identical_pwm	M05853_2.00	M05853_2.00;ZFP82_HUMAN.H11MO.0.C					ZFP82	More than 3 adjacent zinc finger factors{2.3.3}	ZFP82_HUMAN
Q8NEM1	add_hocomoco_to_existing_identical_pwm	M08921_2.00	M08921_2.00;ZN680_HUMAN.H11MO.0.C					ZNF680	More than 3 adjacent zinc finger factors{2.3.3}	ZN680_HUMAN
Q8NHY6	add_hocomoco_to_existing_identical_pwm	M08949_2.00	M08949_2.00;ZFP28_HUMAN.H11MO.0.C					ZFP28	More than 3 adjacent zinc finger factors{2.3.3}	ZFP28_HUMAN
Q8NI51	add_hocomoco_to_existing_identical_pwm	MA1102.1	MA1102.1;CTCFL_HUMAN.H11MO.0.A					CTCFL	More than 3 adjacent zinc finger factors{2.3.3}	CTCFL_HUMAN
Q8TA94	upgrade_to_identical_pwm		ZN563_HUMAN.H11MO.0.C	M07659_2.00 (70.9%);M07731_2.00 (73.3%);M07733_2.00 (81.5%)	M00022_2.00 (50.0%);M00609_2.00 (50.4%);M00939_2.00 (57.5%);M00943_2.00 (56.6%);M00944_2.00 (55.2%);M00945_2.00 (59.7%);M00948_2.00 (55.4%);M00950_2.00 (52.9%);M00952_2.00 (57.8%);M00953_2.00 (54.1%);M00955_2.00 (50.5%);M00958_2.00 (55.4%);M00959_2.00 (52.9%);M00960_2.00 (57.8%);M01474_2.00 (52.9%);M02924_2.00 (53.9%);M04387_2.00 (52.3%);M04598_2.00 (50.4%);M04613_2.00 (50.3%);M04650_2.00 (52.6%);M04653_2.00 (51.4%);M07627_2.00 (53.9%);M07628_2.00 (53.7%);M07707_2.00 (50.3%);M07717_2.00 (58.3%);M07762_2.00 (52.3%);M07770_2.00 (53.3%);M08325_2.00 (50.7%);M08366_2.00 (51.0%);M08367_2.00 (50.2%);M08908_2.00 (55.5%);M08917_2.00 (50.6%);MA1124.1 (55.0%);MA1588.1 (55.9%);MA1602.1 (50.7%)			ZNF563	More than 3 adjacent zinc finger factors{2.3.3}	ZN563_HUMAN
Q8TBZ5	add_hocomoco_to_existing_identical_pwm	M08375_2.00	M08375_2.00;ZN502_HUMAN.H11MO.0.C					ZNF502	More than 3 adjacent zinc finger factors{2.3.3}	ZN502_HUMAN
Q8TF45	add_hocomoco_to_existing_identical_pwm	M07712_2.00	M07712_2.00;ZN418_HUMAN.H11MO.0.C					ZNF418	Factors with multiple dispersed zinc fingers{2.3.4}	ZN418_HUMAN
Q8TF68	add_hocomoco_to_existing_identical_pwm	MA1125.1	MA1125.1;ZN384_HUMAN.H11MO.0.C					ZNF384	More than 3 adjacent zinc finger factors{2.3.3}	ZN384_HUMAN
Q92481	add_hocomoco_to_existing_identical_pwm	MA0811.1	MA0811.1;AP2B_HUMAN.H11MO.0.B					TFAP2B	AP-2{1.3.1}	AP2B_HUMAN
Q92731	add_hocomoco_to_existing_identical_pwm	MA0258.1	MA0258.1;ESR2_HUMAN.H11MO.0.A					ESR2	Steroid hormone receptors (NR3){2.1.1}	ESR2_HUMAN
Q92754	add_hocomoco_to_existing_identical_pwm	MA0524.1	MA0524.1;AP2C_HUMAN.H11MO.0.A					TFAP2C	AP-2{1.3.1}	AP2C_HUMAN
Q92826	add_hocomoco_to_existing_identical_pwm	MA0901.1	MA0901.1;HXB13_HUMAN.H11MO.0.A					HOXB13	HOX-related factors{3.1.1}	HXB13_HUMAN
Q92858	add_hocomoco_to_existing_identical_pwm	MA1467.1	MA1467.1;ATOH1_HUMAN.H11MO.0.B					ATOH1	Tal-related factors{1.2.3}	ATOH1_HUMAN
Q92908	add_hocomoco_to_existing_identical_pwm	MA1104.1	MA1104.1;GATA6_HUMAN.H11MO.0.A					GATA6	GATA-type zinc fingers{2.2.1}	GATA6_HUMAN
Q92985	add_hocomoco_to_existing_identical_pwm	MA0772.1	MA0772.1;IRF7_HUMAN.H11MO.0.C					IRF7	Interferon-regulatory factors{3.5.3}	IRF7_HUMAN
Q96AV8	add_hocomoco_to_existing_identical_pwm	MA0758.1	MA0758.1;E2F7_HUMAN.H11MO.0.B					E2F7	E2F-related factors{3.3.2}	E2F7_HUMAN
Q96EK4	add_hocomoco_to_existing_identical_pwm	MA1573.1	MA1573.1;THA11_HUMAN.H11MO.0.B					THAP11	THAP-related factors{2.9.1}	THA11_HUMAN
Q96GC6	add_hocomoco_to_existing_identical_pwm	MA1592.1	MA1592.1;ZN274_HUMAN.H11MO.0.A					ZNF274	More than 3 adjacent zinc finger factors{2.3.3}	ZN274_HUMAN
Q96LW9	add_hocomoco_to_existing_identical_pwm	M04650_2.00	M04650_2.00;ZSC31_HUMAN.H11MO.0.C					ZSCAN31	More than 3 adjacent zinc finger factors{2.3.3}	ZSC31_HUMAN
